"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score","Website Status","IG Direct Link"
"Hollywod Smile Clinic","Dr. Mohammad Alhussain","Dubai","","@hollywoodsmiledxb","+971 4 4298228","","https://hollywoodsmiledc.com/","4.4","1153","Mobile number (+971 50 519 2516) found on website and Google Maps. It is a mobile number, suggesting a direct line.","2","Active","https://instagram.com/hollywoodsmiledxb"
"Dr. Michael's Dental Clinic","","Dubai","Cosmetic / Implant","@drmichaelsdental","+971 4 3949433","","https://www.drmichaels.com/","4.7","500","Legacy clinic with massive volume - primary candidate for call recovery automation.","3",,
"Dr. Joy Dental Clinic","","Dubai","Multi-specialty / Cosmetic","@drjoydentalclinic","+971 4 397 9522","","https://www.drjoydentalclinic.com/","4.6","450","Large multi-branch operation - difficult to maintain phone response across all locations.","3",,
"Dentzz Dental Care Centre","Dr. Shantanu Jambhekar","Dubai","Premium Cosmetic","@dentzz_dental","+971 4 452 1444","","https://dentzz.ae","5.0","444","High international lead volume; human response bottleneck.","3",,
"Leila Hariri Dental & Medical Aesthetics","Dr. Leila Hariri","Dubai","","@lhdm_ae","+971 4 3444444","+971501595432","https://lhdm.ae/","5.0","424","The +971 50 159 5432 number is a mobile number, likely a direct line or WhatsApp. The +971 4 349 5432 number is a landline.","3","Active","https://instagram.com/lhdm_ae"
"NOA Dental Clinic","","Dubai","Cosmetic / Veneers","@noadentalclinic","+971 4 3944444","+971563211745","https://noadentalclinic.com/","4.8","400","Multi-award winning - premium reputation requires 24/7 responsive booking.","3",,
"Dr Pauls Dental Clinic LLC","Dr. Binoy Paul","Dubai","","@drpaulsdentalclinicdxb","+971 4 3944444","","https://www.drpaulsdentalclinic.com/","4.8","394","Emergency number (+971 56 1219 894) is a mobile number, likely a direct line or WhatsApp enabled.","3","Active","https://instagram.com/drpaulsdentalclinicdxb"
"DRFK Turkish International Day Surgery Center LLC","Dr. Fatih Kırar","Dubai","","@turkishinternationaldaysurgery","058 8111111","+971586954334","https://drfk.ae/","4.9","392","Direct line (mobile)","3","Active","https://instagram.com/turkishinternationaldaysurgery"
"Sejovi Dental & Implant Center","Dr. Sejo Isaac","Dubai","Implant","@sejovi_dental","+971 50 281 6170","","https://sejovi.com","4.9","387","Mobile contact listed - clinic likely uses manual WhatsApp for leads.","3",,
"Dentist Direct Dubai","Dr. Zul Paliwalla","Dubai","Digital Dentistry","@dentistdirect_dubai","+971 4 455 8500","","https://dentistdirect.ae","4.8","373","24/7 Emergency listed - heavy triage needs suitable for AI automation.","3",,
