Clinic Name,City,Doctor,Specialty,Website,Speed Score,Load Time,Mobile Friendly,Google Rating,Review Count,WhatsApp Path,Revenue Leak Score,Pain Proof,Jawab Angle,Notes,Status,Channel,Audit Date
Dr. Thomas Dental Implant Clinic,Dubai,Dr. Thomas,Implant,https://drthomasdentalimplantclinic.com/,Skipped,Skipped,Skipped,4.9,200,Direct: +971567595137,68,"Implant clinic already exposes a direct WhatsApp number, making missed-call fallback and follow-up a clean immediate fit.",Recover + Visible,Likely missed call issues; High-ticket: Implant; AI visibility: needs manual check,Ready To Send Today,WhatsApp,2026-06-03
Leila Hariri Dental & Medical Aesthetics,Dubai,Dr. Leila Hariri,,https://lhdm.ae/,Skipped,Skipped,Skipped,5.0,424,Direct: +971501595432,61,High-end aesthetics patients expect immediate follow-up; having both a landline and direct mobile suggests the front desk can still leak premium inquiries when busy.,Recover + Visible,AI visibility: needs manual check,Ready To Send Today,WhatsApp,2026-06-03
NOA Dental Clinic,Dubai,,Cosmetic / Veneers,https://noadentalclinic.com/,Skipped,Skipped,Skipped,4.8,400,Direct: +971563211745,61,Premium veneers and cosmetic patients often need quick follow-up after first inquiry and after consult; slow replies here are expensive.,Recover + Visible,High-ticket: Cosmetic / Veneers; AI visibility: needs manual check,Ready To Send Today,WhatsApp,2026-06-03
DRFK Turkish International Day Surgery Center LLC,Dubai,Dr. Fatih Kırar,,https://drfk.ae/,Skipped,Skipped,Skipped,4.9,392,Direct: +971586954334,61,Direct mobile path plus surgery-center positioning makes missed calls expensive; patients are likely comparing providers quickly.,Recover + Visible,AI visibility: needs manual check,Ready To Send Today,WhatsApp,2026-06-03
Ferdows Medical Center,Dubai,Dr. Zohreh Ahrari,,https://ferdowsmedicalcenter.ae/,Skipped,Skipped,Skipped,4.9,359,Direct: +971564164701,61,AI visibility: needs manual check,Recover + Visible,AI visibility: needs manual check,Not Contacted,,2026-06-03
German Dental & Neuromuscular Clinic,Dubai,Dr. Abdolreza Nassouti,,https://germandent.com/,Skipped,Skipped,Skipped,4.8,354,Direct: +971568004722,61,AI visibility: needs manual check,Recover + Visible,AI visibility: needs manual check,Not Contacted,,2026-06-03
La Perla Dental Clinic DMCC,Dubai,Dr. Jamal Zoubi,,https://laperladental.com/,Skipped,Skipped,Skipped,4.8,337,Direct: +971564662598,61,AI visibility: needs manual check,Recover + Visible,AI visibility: needs manual check,Not Contacted,,2026-06-03
Sejovi Dental & Implant Center,Dubai,Dr. Sejo Isaac,Implant,https://sejovi.com,Skipped,Skipped,Skipped,4.9,387,Mobile (likely WhatsApp): +971 50 281 6170,57,High-ticket: Implant; AI visibility: needs manual check,Recover + Visible,High-ticket: Implant; AI visibility: needs manual check,Not Contacted,,2026-06-03
Samaa Medical Centre,Dubai,Not found,,https://samaamedicalcenter.ae/,Skipped,Skipped,Skipped,4.5,328,Direct: +971562291810,56,Website down — critical leak; AI visibility: needs manual check,Recover + Visible,Website down — critical leak; AI visibility: needs manual check,Not Contacted,,2026-06-03
Dental Implantologist UAE,Dubai,Dr. Gunjan Alad,Implant,https://dentalimplantologistuae.com,Skipped,Skipped,Skipped,5.0,125,Mobile (likely WhatsApp): +971 58 521 7979,55,High-ticket: Implant; AI visibility: needs manual check,Recover + Visible,High-ticket: Implant; AI visibility: needs manual check,Not Contacted,,2026-06-03
Dr Krish Esthetik Studio,Dubai,Dr. Krish,Aesthetics,https://drkrishesthetik.com,Skipped,Skipped,Skipped,4.8,276,Mobile (likely WhatsApp): +971 50 837 3481,54,High-ticket: Aesthetics; AI visibility: needs manual check,Recover + Visible,High-ticket: Aesthetics; AI visibility: needs manual check,Not Contacted,,2026-06-03
The TopDent,Dubai,Dr. Divakar,Cosmetic,https://topdent.ae,Skipped,Skipped,Skipped,5.0,260,Mobile (likely WhatsApp): +971 50 144 0432,54,"Website appears suspended, which means inbound cosmetic leads may be bouncing and direct messaging becomes even more critical.",Recover + Visible,High-ticket: Cosmetic; AI visibility: needs manual check,Ready To Send Today,WhatsApp,2026-06-03
Esthetic Dubai (La Maison Des Sourires),Dubai,,Cosmetic,https://estheticdubai.com,Skipped,Skipped,Skipped,4.9,342,No direct WhatsApp found,53,No direct WhatsApp path; WhatsApp path unclear; Likely missed call issues,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; Likely missed call issues; High-ticket: Cosmetic; AI visibility: needs manual check,Not Contacted,,2026-06-03
Dr Pauls Dental Clinic LLC,Dubai,Dr. Binoy Paul,,https://www.drpaulsdentalclinic.com/,Skipped,Skipped,Skipped,4.8,394,No direct WhatsApp found,50,No direct WhatsApp path; WhatsApp path unclear; Likely missed call issues,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; Likely missed call issues; AI visibility: needs manual check,Not Contacted,,2026-06-03
