"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score","Website Status","IG Direct Link","PainProof","WhatsAppPath","WebsiteStatusCheck","WarmIntroPath","LastTouchDate","Channel","Status","NextAction","OfferAngle"
"Hollywod Smile Clinic","Dr. Mohammad Alhussain","Dubai","","@hollywoodsmiledxb","+971 4 4298228","","https://hollywoodsmiledc.com/","4.4","1153","Mobile number (+971 50 519 2516) found on website and Google Maps. It is a mobile number, suggesting a direct line.","2","Active","https://instagram.com/hollywoodsmiledxb","","","","","","","Not Contacted","",""
"Dr. Michael's Dental Clinic","","Dubai","Cosmetic / Implant","@drmichaelsdental","+971 4 3949433","","https://www.drmichaels.com/","4.7","500","Legacy clinic with massive volume - primary candidate for call recovery automation.","3","","","500 reviews plus cosmetic and implant positioning suggest high inbound volume; even one slow reply likely costs a premium case.","No public WhatsApp found in sheet; lead with IG DM and ask for the best booking number on reply.","","","","IG DM","Ready To Send Today","Send IG DM this morning; if there is no reply, run a lunch-hour call test and follow up on IG.","Recover high-value cosmetic and implant inquiries before they leak."
"Dr. Joy Dental Clinic","","Dubai","Multi-specialty / Cosmetic","@drjoydentalclinic","+971 4 397 9522","","https://www.drjoydentalclinic.com/","4.6","450","Large multi-branch operation - difficult to maintain phone response across all locations.","3","","","Multi-branch cosmetic clinic with 450 reviews; response consistency across locations is hard to maintain and premium inquiries can slip between teams.","No direct WhatsApp in sheet; start on IG and ask for the fastest booking number on reply.","","","","IG DM","Ready To Send Today","Send IG DM this morning; if there is no reply, run a lunch-hour call test and follow up.","Recover multi-location cosmetic inquiries before they stall."
"Dentzz Dental Care Centre","Dr. Shantanu Jambhekar","Dubai","Premium Cosmetic","@dentzz_dental","+971 4 452 1444","","https://dentzz.ae","5.0","444","High international lead volume; human response bottleneck.","3","","","Premium cosmetic brand with heavy international-style lead flow; landline-first access suggests a human response bottleneck.","No direct WhatsApp in sheet; use IG DM first and request their fastest booking/contact path.","","","","IG DM","Ready To Send Today","Send IG DM this morning; if seen and unanswered, follow with a quick call test or website form.","Catch premium cosmetic leads when staff response lags."
"Leila Hariri Dental & Medical Aesthetics","Dr. Leila Hariri","Dubai","","@lhdm_ae","+971 4 3444444","+971501595432","https://lhdm.ae/","5.0","424","The +971 50 159 5432 number is a mobile number, likely a direct line or WhatsApp. The +971 4 349 5432 number is a landline.","3","Active","https://instagram.com/lhdm_ae","High-end aesthetics patients expect immediate follow-up; having both a landline and direct mobile suggests the front desk can still leak premium inquiries when busy.","Direct mobile listed (+971501595432); send WhatsApp voice note first.","","","","WhatsApp","Ready To Send Today","Send WhatsApp voice note this morning; use IG DM as backup if unread.","Protect premium cosmetic and aesthetics inquiries with instant bilingual recovery."
"NOA Dental Clinic","","Dubai","Cosmetic / Veneers","@noadentalclinic","+971 4 3944444","+971563211745","https://noadentalclinic.com/","4.8","400","Multi-award winning - premium reputation requires 24/7 responsive booking.","3","","","Premium veneers and cosmetic patients often need quick follow-up after first inquiry and after consult; slow replies here are expensive.","Direct mobile listed (+971563211745); use WhatsApp first.","","","","WhatsApp","Ready To Send Today","Send WhatsApp voice note this morning; use IG DM only if WhatsApp does not land.","Recover veneer and cosmetic inquiries before they go to another clinic."
"Dr Pauls Dental Clinic LLC","Dr. Binoy Paul","Dubai","","@drpaulsdentalclinicdxb","+971 4 3944444","","https://www.drpaulsdentalclinic.com/","4.8","394","Emergency number (+971 56 1219 894) is a mobile number, likely a direct line or WhatsApp enabled.","3","Active","https://instagram.com/drpaulsdentalclinicdxb","","","","","","","Not Contacted","",""
"DRFK Turkish International Day Surgery Center LLC","Dr. Fatih Kırar","Dubai","","@turkishinternationaldaysurgery","058 8111111","+971586954334","https://drfk.ae/","4.9","392","Direct line (mobile)","3","Active","https://instagram.com/turkishinternationaldaysurgery","Direct mobile path plus surgery-center positioning makes missed calls expensive; patients are likely comparing providers quickly.","Direct mobile listed (+971586954334); use WhatsApp first.","","","","WhatsApp","Ready To Send Today","Send WhatsApp voice note this morning; if unread, use IG DM as backup.","Catch high-intent treatment inquiries when the line is busy."
"Sejovi Dental & Implant Center","Dr. Sejo Isaac","Dubai","Implant","@sejovi_dental","+971 50 281 6170","","https://sejovi.com","4.9","387","Mobile contact listed - clinic likely uses manual WhatsApp for leads.","3","","","","","","","","","Not Contacted","",""
"Dentist Direct Dubai","Dr. Zul Paliwalla","Dubai","Digital Dentistry","@dentistdirect_dubai","+971 4 455 8500","","https://dentistdirect.ae","4.8","373","24/7 Emergency listed - heavy triage needs suitable for AI automation.","3","","","A 24/7 emergency promise creates a high expectation for instant response; any missed call or slow reply is visibly off-brand.","No direct WhatsApp in sheet; use IG DM first and run a quick call test later if needed.","","","","IG DM","Ready To Send Today","Send IG DM this morning; run a quick response test later and use email only as backup.","Protect emergency and digital inquiries with faster recovery."
"Ferdows Medical Center","Dr. Zohreh Ahrari","Dubai","","@ferdows_medical_center","056 4111111","+971564164701","https://ferdowsmedicalcenter.ae/","4.9","359","The clinic provides a WhatsApp number (+971564164701) which is likely a mobile number, suggesting good responsiveness for inquiries via WhatsApp. Another landline number (+971 4 321 3330) is also provided.","3","Active","https://instagram.com/ferdows_medical_center","","","","","","","Not Contacted","",""
"German Dental & Neuromuscular Clinic","Dr. Abdolreza Nassouti","Dubai","","@germandentaluae","+971 4 3755391","+971568004722","https://germandent.com/","4.8","354","The phone number +971 56 800 4722 is a mobile number in the UAE, which likely supports WhatsApp. It is not a landline and there is no information about an IVR. A direct call would likely go to a mobile device or a direct line at the clinic.","3","Active","https://instagram.com/germandentaluae","","","","","","","Not Contacted","",""
"Esthetic Dubai (La Maison Des Sourires)","","Dubai","Cosmetic","@esthetic.dubai.uae","+971 4 239 8848","","https://estheticdubai.com","4.9","342","High volume; potential for missed night/weekend inquiries.","3","","","","","","","","","Not Contacted","",""
"La Perla Dental Clinic DMCC","Dr. Jamal Zoubi","Dubai","","@laperladental_clinic","+971 4 4355678","+971564662598","https://laperladental.com/","4.8","337","The phone number +97144321732 is a landline, and the mobile number +971564662598 is a direct line.","3","Active","https://instagram.com/laperladental_clinic","","","","","","","Not Contacted","",""
"New Ivory Dental & Implant Clinic","Dr. Tanveer Ahmed","Dubai","Implant","@new.ivory.dental","+971 4 349 3313","","https://newivory.com","5.0","331","CRITICAL: Website unreachable; clinic losing massive digital lead volume.","3","","","Website is unreachable, so every missed call or DM matters even more because the normal digital path is already broken.","No WhatsApp path in sheet yet; check Instagram bio/contact button before sending.","","","","IG DM","Ready To Send Today","Check IG for a mobile or WhatsApp path, then send this morning; use email only if both direct routes are weak.","Recover implant inquiries while the broken site is still costing them."
"Samaa Medical Centre","Not found","Dubai","","@samaamedicalcenter","+971 4 3944444","+971562291810","https://samaamedicalcenter.ae/","4.5","328","The provided phone number (04 3944444) was not found on the website or Google Maps. The website lists +971 56 229 1810, which is a mobile number.","3","Inactive/Error","https://instagram.com/samaamedicalcenter","","","","","","","Not Contacted","",""
"Hadiya Dental Center","Dr. Fathima Nooff","Dubai","","@hadiya.dental.center","+971 4 2898888","","https://www.hadiyacare.com","4.8","304","Cannot be determined without direct interaction","3","Active","https://instagram.com/hadiya.dental.center","","","","","","","Not Contacted","",""
"Micris Dental Clinic","","Dubai","Premium Multi-specialty","@micrisdental","+971 4 330 0441","","https://micrisdentalclinic.com/","4.8","300","One of Dubai's largest providers - high traffic environment creates response delays.","3","","","","","","","","","Not Contacted","",""
"SameDay Dental Clinic","Dr. Costa Nicolopoulos","Dubai","Implant / ZAGA Center","@samedayimplants","+971 4 3156000","","https://www.samedayme.com/","4.8","285","Specialized implant focus - patients expect high-precision appointment coordination.","3","","","","","","","","","Not Contacted","",""
"Sameday Dental Implants","Dr. Costa Nicolopoulos","Dubai","","@samedayimplants","+971 4 3156000","","https://www.samedayme.com/","4.8","285","Cannot determine IVR/direct line without direct interaction.","3","Active","https://instagram.com/samedayimplants","","","","","","","Not Contacted","",""
"Dr Krish Esthetik Studio","Dr. Krish","Dubai","Aesthetics","@dr_krish_esthetik","+971 50 837 3481","","https://drkrishesthetik.com","4.8","276","CRITICAL: Website unreachable; potential lost aesthetic patient leads.","3","","","","","","","","","Not Contacted","",""
"The TopDent","Dr. Divakar","Dubai","Cosmetic","@topdentdubai","+971 50 144 0432","","https://topdent.ae","5.0","260","CRITICAL: Website suspended; urgent need for automated response backup.","3","","","Website appears suspended, which means inbound cosmetic leads may be bouncing and direct messaging becomes even more critical.","Mobile number listed (+971 50 144 0432); verify if WhatsApp is active and send there first.","","","","WhatsApp","Ready To Send Today","Verify WhatsApp on the listed mobile and send this morning; use IG DM as backup.","Keep cosmetic inquiries alive while their website path is down."
"Magnum Clinic Dubai","","Dubai","Cosmetic / General","@magnumclinic","+971 4 388 3886","","https://magnumclinic.ae/","4.8","200","Modern clinic focus - patients are digitally native and prefer WhatsApp.","3","","","","","","","","","Not Contacted","",""
"Dr. Thomas Dental Implant Clinic","Dr. Thomas","Dubai","Implant","","+971 4 4431718","+971567595137","https://drthomasdentalimplantclinic.com/","4.9","200","Direct WhatsApp listed - high potential for automated missed-call fallback integration.","3","","","Implant clinic already exposes a direct WhatsApp number, making missed-call fallback and follow-up a clean immediate fit.","Direct WhatsApp listed (+971567595137); use WhatsApp first.","","","","WhatsApp","Ready To Send Today","Send WhatsApp voice note this morning; if seen and unanswered, follow with the implant-leak angle.","Recover high-ticket implant inquiries through WhatsApp immediately."
"Reveal Medical Center","Dr. Alaa Abou Laban","Dubai","","@revealmedicalcenter","+971 4 3855555","","https://reveal.ae/","4.9","173","Not performed by agent","3","Active","https://instagram.com/revealmedicalcenter","","","","","","","Not Contacted","",""
